RK	PLAYER	POS	SLOT	NOTE
1	Jahmyr Gibbs	RB	1.01	1.02 TAKE THE BACK. +164 VBD, biggest edge in the draft. Bijan if Gibbs gone.
2	Bijan Robinson	RB	1.02	1.02 TAKE THE BACK. +164 VBD. Handcuff is Brian Robinson Jr (R14).
3	Ja'Marr Chase	WR	1.03	NICK: Elite alpha target hog; premier WR baseline.
4	Puka Nacua	WR	1.04	NICK: Elite anchor WR.
5	Jaxon Smith-Njigba	WR	1.05	NICK: Elite efficiency + huge target share; defends him vs ADP doubters.
6	Amon-Ra St. Brown	WR	1.06	MUST-DRAFT. Only WR Nick breaks RB-RB for -- and ONLY outside top 4. You pick 1.02, so NOT you.
7	Jonathan Taylor	RB	1.07	NICK: Fade at pick 4 in full-PPR — lacks the receiving floor.
8	Christian McCaffrey	RB	1.08	NICK: Loves him if he falls (full-PPR receiving floor).
9	Ashton Jeanty	RB	1.09	MUST-DRAFT. NICK: People are underrating how good he actually was, because the offense around him was terrible — no other playmakers with Bowers hurt, bad line, weak sc
10	Justin Jefferson	WR	1.10	NICK: #1 positive-regression target (career-worst luck). Watch MIN QB.
11	Brock Bowers	TE	2.01	MUST-DRAFT. THE PICK IF HE FALLS TO 2.09. +57.9 over the best back. NEVER at 1.02 (-81.8).
12	CeeDee Lamb	WR	2.02	
13	James Cook	RB	2.03	NICK: Honorable mention he loves in the late first. Camp reports indicate an increased receiving role — the one thing that was capping him. League's leading
14	Tyler Warren	TE	2.04	BOWERS FALLBACK. +44.7 at ADP 59 = your 6.09. Take him if Bowers went.
15	Chase Brown	RB	2.05	MUST-DRAFT. TAKE ZONE. TAKE ZONE + must-draft. Full-PPR pick per Nick; Walker edges him in your half-PPR.
16	A.J. Brown	WR	2.06	
17	Josh Allen	QB	2.07	MUST-DRAFT. Highest raw total (420) and it does not matter -- only +30 over the QB you get anyway. NEVER before R4.
18	Drake London	WR	2.08	
19	Nico Collins	WR	2.09	NICK: Premier smash-play (over Nabers).
20	Saquon Barkley	RB	2.10	TAKE ZONE. TAKE ZONE. Nick's #1 R2 back. Playoff-SOS knock does NOT apply -- RPB has no playoffs.
21	Kenneth Walker III	RB	3.01	TAKE ZONE. NICK: FORMAT SPLIT and it favours RPB: 'In half PPR scoring I have Ken Walker over Chase Brown. But once you flip on full PPR, the certainty there for the r
22	Parker Washington	WR	3.02	MUST-DRAFT. BIGGEST EDGE. Punt returner: 5th in NFL ret yds, LED league in ret TDs. RPB pays that, FFA doesn't. +34 pts nobody prices. Take 6.09.
23	Malik Nabers	WR	3.03	NICK: 2026-08-05, his latest mention: 'I'm still not going to take him over that range of running back that's Saquon, Ken Walker, Chase Brown, Hampton. And 
24	Derrick Henry	RB	3.04	TAKE ZONE. TAKE ZONE but take him LAST of the five. Watch, not a buy -- declining targets.
25	George Pickens	WR	3.05	NICK: Pivot-point WR target.
26	Omarion Hampton	RB	3.06	TAKE ZONE. TAKE ZONE. If you get him, Keaton Mitchell (R14) is the handcuff double-dip.
27	Tucker Kraft	TE	3.07	NICK: Was the top-scoring TE before tearing his ACL and is trending well, but goes in the early 7th with no discount — Nick is explicitly lukewarm at that p
28	Sam LaPorta	TE	3.08	
29	DeVonta Smith	WR	3.09	NICK: Favorite Eagles target — 30%+ target share, 10 tgt/gm early.
30	Emeka Egbuka	WR	3.10	MUST-DRAFT. NICK: Was on a 76/1,279/12 pace through nine games before a hamstring injury and Baker's shoulder derailed it. The new coordinator has talked about using hi
31	Harold Fannin	TE	4.01	NICK: Mid-TE trap — prior output inflated by garbage-time targets.
32	Joe Burrow	QB	4.02	MUST-DRAFT. 7.02 QB. Your 0.05/yd passing favours pocket arms. 20.2 hppr/wk.
33	Chris Olave	WR	4.03	NICK: R3 elite — high-tempo NO offense, heavy target share.
34	Zay Flowers	WR	4.04	MWV ONLY. TD caps hurt him in half-PPR. Do NOT draft at rank in RPB.
35	Kyren Williams	RB	4.05	DEAD ZONE. Corum could take 50/50. Volume is perceived, not locked.
36	Tee Higgins	WR	4.06	
37	Jeremiyah Love	RB	4.07	
38	Mike Evans	WR	4.08	MUST-DRAFT. 5.02. Half-PPR format split IN YOUR FAVOUR -- Nick fades him in full PPR, buys at 0.5.
39	George Kittle	TE	4.09	Late TE door. +17.6 at ADP 107 = your 11.02. Only if Bowers AND Warren gone.
40	Justin Herbert	QB	4.10	MUST-DRAFT. 7.02 QB fallback. Same 20.2 hppr/wk as Burrow. ADP 74 -- he lasts.
41	Breece Hall	RB	5.01	Nick MOVED HIM DOWN in half PPR too. Edge of the dead zone. Don't pay R3 price.
42	Ladd McConkey	WR	5.02	NICK: R4 favorite value — elite TPRR in 12-personnel.
43	David Montgomery	RB	5.03	MUST-DRAFT. Replaces Etienne's old role and better. ADP 55 -- will NOT reach 7.02. Take 6.09 if only 1 RB.
44	Lamar Jackson	QB	5.04	MUST-DRAFT. Ceiling QB but RPB de-values rushing QBs. Fell QB2 -> QB6 under your scoring.
45	Tetairoa McMillan	WR	5.05	NICK: Safe boundary target vacuum.
46	Garrett Wilson	WR	5.06	
47	Dallas Goedert	TE	5.07	MUST-DRAFT. Must-draft TE at ADP 125. AJ Brown's exit frees 120+ targets. Pure insurance.
48	Javonte Williams	RB	5.08	DEAD ZONE. Zero receiving role. Priced like more than he is.
49	Josh Jacobs	RB	5.09	NICK: R3 fade — conduct probe / 8-12 wk suspension risk; pounce only at R5.
50	D'Andre Swift	RB	5.10	MUST-DRAFT. NICK: Still 27, with 34+ receptions in all six pro seasons and back-to-back 1,340-yard years. Thin competition behind him on a Bears offense poised to step 
51	Jaylen Waddle	WR	6.01	
52	Terry McLaurin	WR	6.02	NICK: Safe locked-in target monster (over aging Davante).
53	Jayden Daniels	QB	6.03	MUST-DRAFT. CONFLICT in Nick's notes -- newer camp news downgrades him (WAS cutting no-huddle). Recency wins.
54	Jalen Hurts	QB	6.04	MUST-DRAFT. NICK: One of the eight quarterbacks Nick wants, at a value.
55	Travis Etienne	RB	6.05	Your OLD keeper, now in the pool. Exactly replacement level (-0.2). New Orleans in 2026.
56	Davante Adams	WR	6.06	NICK: Aging — prefers Terry McLaurin's safer volume.
57	Jameson Williams	WR	6.07	NICK: Best-ball only — volatile target floor wrecks redraft lineups.
58	Dalton Kincaid	TE	6.08	NICK: Late TE double-dip — athletic profile tied to an elite QB (Buffalo); live ADP outpaces market.
59	Quinshon Judkins	RB	6.09	NICK: R5 value — 300-touch ceiling, Monken features his best players.
60	Isaiah Likely	TE	6.10	
61	Dak Prescott	QB	7.01	
62	DJ Moore	WR	7.02	NICK: Elite value — ADP artificially depressed by 'foot callus' panic; if he's running fluidly in camp the value skyrockets.
63	Bucky Irving	RB	7.03	Nick's #1 REGRET back. Committee + injury. ADP 56, worth #76. Let him go.
64	Travis Kelce	TE	7.04	
65	Christian Watson	WR	7.05	NICK: R6 fade — 1 double-digit-target game in 51 career games.
66	TreVeyon Henderson	RB	7.06	
67	Bhayshul Tuten	RB	7.07	NICK: R6 value — 250-280 touch ceiling in fast JAX offense.
68	Rome Odunze	WR	7.08	
69	Carnell Tate	WR	7.09	
70	Jadarian Price	RB	7.10	NICK: Overrated — no receiving profile; Charbonnet reclaims SEA RB1.
71	Jordyn Tyson	WR	8.01	
72	Tony Pollard	RB	8.02	MUST-DRAFT. Must-draft but BELOW replacement (-24.9). R8 upside only, never a reach.
73	Brian Thomas Jr.	WR	8.03	
74	Marvin Harrison Jr.	WR	8.04	
75	Jared Goff	QB	8.05	MUST-DRAFT. NICK: The fallback if you pass on the top 8. Easiest schedule in the NFL, mostly domes late, a poor defense forcing shootouts, and more passing near the goa
76	Jaylen Warren	RB	8.06	NICK: Muddy committee; explicitly avoided.
77	Makai Lemon	WR	8.07	
78	Rhamondre Stevenson	RB	8.08	NICK: Tactical chain-mover — staff trusts him to hit reads and grind the 4-5 yards to move the chains; under-the-radar volume.
79	Bo Nix	QB	8.09	
80	DK Metcalf	WR	8.10	NICK: R6/7 fade — name value only; aging Rodgers can't push it deep, <100 tgts.
81	Jayden Reed	WR	9.01	NICK: Consolidated GB target share after Doubs/Wicks left.
82	Jordan Addison	WR	9.02	NICK: Unfavorable ecosystem — buried behind alpha Justin Jefferson, catching from a volatile/unproven MIN QB room.
83	Josh Downs	WR	9.03	NICK: Polished target earner — clear path to 5-7 catches/wk with the WR room thinned (Pierce's foot surgery); high-floor flex.
84	Chris Godwin	WR	9.04	NICK: Lacks a league-winning ceiling; aging role.
85	Rico Dowdle	RB	9.05	
86	RJ Harvey	RB	9.06	NICK: R7 fade — Dobbins signed, role collapses.
87	Michael Pittman Jr.	WR	9.07	NICK: Low aDOT / low-volume scheme; passed on.
88	Jonathon Brooks	RB	9.08	MUST-DRAFT. Backs up Chuba Hubbard (Nick SHY). Graded standalone value. R9-10 discount.
89	Blake Corum	RB	9.09	
90	J.K. Dobbins	RB	9.10	
91	Patrick Mahomes	QB	10.01	
92	Xavier Worthy	WR	10.02	
93	Kyle Monangai	RB	10.03	NICK: ~R8 handcuff value — 11 touches/gm on an elite offense, TD luck.
94	Matthew Golden	WR	10.04	
95	Jakobi Meyers	WR	10.05	NICK: Low-ceiling depth play.
96	Jayden Higgins	WR	10.06	MUST-DRAFT. Starting Z opposite Nico Collins, who has missed time every year. R12-13 contingent upside.
97	Wan'Dale Robinson	WR	10.07	
98	Jordan Mason	RB	10.08	MUST-DRAFT. Must-draft but -70.8. Lead back reports, Aaron Jones fading. Late dart only.
99	Stefon Diggs	WR	10.09	
100	Jacory Croskey-Merritt	RB	10.10	
101	KC Concepcion	WR	11.01	
102	Romeo Doubs	WR	11.02	
103	Khalil Shakir	WR	11.03	
104	Jalen Coker	WR	11.04	
105	Chris Rodriguez Jr.	RB	11.05	
106	Kenneth Gainwell	RB	11.06	ADP 343, worth #136. Free handcuff -- the biggest ADP gap on the board.
107	Keaton Mitchell	RB	11.07	MUST-DRAFT. Hampton's handcuff AND must-draft -- the only double-dip. Take ONLY if you got Hampton.
108	De'Zhaun Stribling	WR	11.08	
109	Rashid Shaheed	WR	11.09	
110	Travis Hunter	WR	11.10	Nick calls him a last-round STEAL. Highest TPRR upside on the board.
111	Deebo Samuel	WR	12.01	
112	Denzel Boston	WR	12.02	
113	Ryan Flournoy	WR	12.03	
114	Jalen Nailor	WR	12.04	
115	Jauan Jennings	WR	12.05	
116	Aaron Jones	RB	12.06	
117	Tre Harris	WR	12.07	
118	Tre Tucker	WR	12.08	
119	Omar Cooper Jr.	WR	12.09	
120	Tyrone Tracy Jr.	RB	12.10	
121	Jalen McMillan	WR	13.01	
122	Isaac TeSlaa	WR	13.02	
123	Zachariah Branch	WR	13.03	
124	Tank Dell	WR	13.04	NICK: Zero-risk last-pick flier; elite share if Collins misses time.
125	Alvin Kamara	RB	13.05	
126	Adonai Mitchell	WR	13.06	
127	Kayshon Boutte	WR	13.07	
128	Pat Bryant	WR	13.08	
129	Jerry Jeudy	WR	13.09	
130	Cyrus Allen	WR	13.10	
131	Germie Bernard	WR	14.01	
132	Tyler Lockett	WR	14.02	
133	Woody Marks	RB	14.03	
134	Brian Robinson Jr.	RB	14.04	
135	Calvin Ridley	WR	14.05	
136	Dontayvion Wicks	WR	14.06	
137	Malik Washington	WR	14.07	
138	Tank Bigsby	RB	14.08	
139	Isiah Pacheco	RB	14.09	
140	Ted Hurst	WR	14.10	
141	Houston Texans	DST	15.01	
142	Denver Broncos	DST	15.02	
143	Philadelphia Eagles	DST	15.03	
144	Los Angeles Rams	DST	15.04	
145	Seattle Seahawks	DST	15.05	
146	Minnesota Vikings	DST	15.06	
147	Pittsburgh Steelers	DST	15.07	
148	Detroit Lions	DST	15.08	
149	Los Angeles Chargers	DST	15.09	
150	Atlanta Falcons	DST	15.10	
151	Jason Myers	K	16.01	
152	Ka'imi Fairbairn	K	16.02	
153	Nick Folk	K	16.03	
154	Blake Grupe	K	16.04	
155	Brandon Aubrey	K	16.05	
156	Jake Bates	K	16.06	
157	Cairo Santos	K	16.07	
158	Harrison Mevis	K	16.08	
159	Cameron Dicker	K	16.09	16.09. Nick is 70th of 150+ at kicker. Take a good offense's leg and stop thinking.
160	Will Reichard	K	16.10	
